Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
EDUCATED GUESS 11-1H,S505,MWRY,core,113.0567,7.5325,20.82,1,10695.5,1.86,0.21,4.84,0.22,445,260,12,5.05,0.04
TRC 1,D636,MWRY,core,143.7671424,59.15310785,24.38477593,1,11118.1,0.71,0.21,0.5,,,70,41,0.71,0.3
JAVA STATE 16-4,T482,MWRY,core,156.6595,4.723,7.16,1,10142,1.81,0.76,7.12,0.11,436,393,6,7.88,0.1
JAVA STATE 16-5,T482,MWRY,core,143.9635,4.2261,8.48,1,10162,0.77,0.38,2.57,0.09,436,334,12,2.95,0.13
Buffalo Gap Federal 35-1,T120,MWRY,core,135.2113682,51.51228602,9.4011976,1,11257.2,0.38,,,0.27,451,,,0,
2 JACOBS,E419,MWRY,core,88.33446945,7.87093618,16.79775879,1,9601,0.7,0.21,0.69,0.08,449,99,11,0.9,0.23
EDUCATED GUESS 11-1H,S505,MWRY,core,102.8419,5.2902,20.45,1,10486.7,1.92,0.16,6.25,0.21,444,326,11,6.41,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4613,13.6618,18.21,1,10651.7,2.36,0.25,7.22,0.18,442,306,8,7.47,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,113.0567,7.5325,20.82,1,10695.5,1.86,0.21,4.84,0.22,445,260,12,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,150.9407,19.0939,19.64,1,10638.8,2.16,0.25,7.52,0.17,442,348,8,7.77,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8495,18.5789,18.73,1,10622.7,2.72,0.19,9.66,0.31,442,355,11,9.85,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,119.3044,9.5792,20.04,1,10687.8,2.5,0.29,7.49,0.21,445,300,8,7.78,0.04
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12670.5,2.94,0.88,2.12,0.23,456,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,137.3373,5.4714,15.37,1,10465.2,0.36,0.08,0.52,0.68,442,144,64,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,162.8413,17.1207,19.06,1,10640.4,2.58,0.3,10.6,0.19,442,399,7,10.6,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,136.5606,16.4522,17.8,1,10647.6,2.14,0.29,6.29,0.17,442,294,8,6.58,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,140.5272,13.8802,19.1,1,10649.7,2.4,0.28,9.83,0.21,440,368,10,9.21,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,143.6252,17.4556,19.78,1,10624.7,2.6,0.18,9.16,0.23,441,413,6,9.34,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,124.6601,16.4368,17.62,1,10646.5,2.1,0.25,6.29,0.16,442,300,8,6.58,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,142.4117,10.9485,17.16,1,10571.4,1.52,0.1,4.79,0.3,445,315,20,4.89,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,106.2322,11.2565,20,1,10599.6,3.16,0.21,15.86,0.23,444,502,7,16.07,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,136.5606,15.3588,20.25,1,10627.6,2.98,0.15,9.82,0.16,442,330,10,9.97,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,120.0979,14.0496,18.03,1,10618.5,2.62,0.21,11.65,0.2,443,445,8,11.86,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,160.26282,18.6295,19.45,1,10639.2,2.73,0.3,10.6,0.23,447,388,10,10.9,0.03
