GR,ILD,Porosity,Avg. Depth,TOC
147.6676,12.1941,18.64,10653.5,2.1
138.1476,15.3588,20.25,10627.7,2.98
129.6184,21.6216,19.19,10607.8,2.49
137.5216487,8.57822885,16.95342606,8367.5,2.81
199.1262023,19.63277575,9.9001996,11183.9,1.13
161.0574078,30.06715732,11.57287697,11199.0,2.53
147.1885415,26.35167182,8.40319361,11336.5,1.57
142.2968296,32.98631627,9.00199601,11111.0,1.3
132.1149175,38.25781269,7.60479042,11263.2,1.55
138.9803993,38.25781269,9.4011976,11154.6,0.68
138.9803993,38.25781269,9.4011976,11154.6,0.68
135.6946753,30.06715732,8.29381702,11089.9,1.05
141.5187,17.9478,19.65,10641.8,2.12
123.5692,9.8762,17.31,10677.4,1.32
140.5272,14.3603,18.23,10649.7,2.12
31.99191347,4.42934366,10.75772682,12658.0,2.85
136.4612,12.9171,18.62,10652.6,2.29
125.5769519,37.44866602,7.29666526,11247.8,1.14
150.5307165,18.23007884,7.80439122,11241.0,1.17
201.7631892,19.63277575,8.10379242,11348.1,1.98
125.5769519,37.44866602,7.29666526,11247.8,1.14
135.2113682,28.16232417,6.80267847,11305.3,1.15
120.0979,14.0496,18.03,10618.5,2.62
145.9075,18.5325,18.93,10623.5,3.39
124.736,36.446,8.567,10862.3,1.97
143.397,39.845,7.808,10966.5,1.93
143.397,39.845,7.808,10966.5,1.93
144.0282205,43.55702053,9.33550898,11255.5,1.94
150.5307165,18.23007884,7.80439122,11241.0,1.17
132.1149175,38.25781269,7.60479042,11263.2,1.55
156.480199,20.0,6.71692538,11210.5,1.51
129.9387518,34.87214709,7.40518962,11295.5,1.46
132.1872122,51.40554821,10.0,11161.5,2.89
199.1262023,19.63277575,9.9001996,11183.9,1.13
187.3148355,4.98463534,15.64073091,8407.0,5.78
157.0695711,30.06715732,9.500998,11343.2,1.77
126.3566233,68.21043078,9.9001996,11179.0,1.67
157.0695711,30.06715732,9.500998,11343.2,1.77
120.1014731,47.81801386,10.5988024,11188.1,2.3
113.135171,51.70649342,9.33550898,11170.0,1.94
138.9803993,38.25781269,9.4011976,11154.6,0.68
154.3344544,26.35167182,8.40319361,11336.0,1.84
132.1149175,38.25781269,7.60479042,11263.2,1.55
182.0997248,18.57106614,8.60279441,11085.0,1.28
182.0997641,18.57106614,8.60279441,11085.0,1.28
135.6946753,30.06715732,8.29381702,11089.9,1.05
157.6852008,43.55702053,9.33550898,11223.3,1.94
129.9387518,34.87214709,7.40518962,11295.5,1.46
144.0282205,43.55702053,8.30532782,11255.5,1.38
230.4845228,11.47047238,9.500998,11145.1,0.55
129.8777456,51.51238652,9.4011976,11161.0,0.38
151.3815751,32.3806475,7.7059612,11330.35,0.15
151.3815751,32.3806475,7.7059612,11330.35,0.15
125.7690897,43.55702053,9.00199601,11157.5,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
146.2057,3.9927,6.1,10118.5,1.29
166.057,11.1393,9.7,10200.5,3.36
166.057,11.1393,9.7,10200.5,3.36
128.2361,11.1217,19.31,10684.5,2.31
164.2583,11.1393,9.7,10200.5,3.36
164.2583,11.1393,9.7,10200.5,3.36
192.8937,7.0581,9.87,10218.5,2.74
230.4845228,11.47047238,9.500998,11145.1,0.55
129.8777456,51.51238652,9.4011976,11161.0,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
161.0774563,26.45286186,25.60581566,9926.5,2.9
126.1472,8.1033,19.22,10675.3,2.74
119.3044,9.5792,20.04,10687.8,2.5
140.1864,15.8354,18.68,10642.7,2.28
174.7419,10.9247,16.5,10663.7,1.14
140.1864,15.8354,18.68,10642.7,2.28
150.8412,5.9067,19.4,10613.7,1.39
102.8419,5.2902,20.45,10486.7,1.92
160.2628,18.6295,19.45,10639.2,2.73
160.2628,18.6295,19.45,10639.2,2.73
137.4531,14.4324,19.01,10633.7,2.31
130.7094,15.2337,18.06,10648.7,2.29
120.226,33.7,8.88,10912.5,2.49
108.396,10.8237,17.34,10582.6,2.56
230.4845228,11.47047238,9.500998,11145.1,0.55
230.4845228,11.47047238,9.500998,11145.1,0.55
230.4845228,11.47047238,9.500998,11145.1,0.55
138.7667218,40.44501546,7.89925639,11126.0,0.66
125.7690897,43.55702053,9.00199601,11157.5,0.38
156.984,15.5351,19.78,10626.8,4.45
31.99191347,4.42934366,10.11964108,12670.5,2.39
143.397,39.845,7.808,10966.5,1.93
31.99191347,4.42934366,10.11964108,12679.5,2.39
157.6835,12.0433,19.21,10635.6,2.47
125.7690897,43.55702053,9.00199601,11157.5,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
125.7690897,43.55702053,9.00199601,11157.5,0.38
156.6595,4.723,7.16,10142.0,1.81
230.4845228,11.47047238,9.500998,11145.1,0.55
125.7690897,43.55702053,9.001909,11157.5,0.38
230.4845228,11.47047238,9.500998,11145.1,0.55
129.8777456,51.51238652,9.4011976,11161.0,0.38
102.8419,5.2902,20.43,10486.7,3.07
147.3701,17.4556,19.18,10620.6,3.57
163.9319,10.4533,20.43,10655.6,3.07
137.8495,18.5789,17.83,10622.7,1.97
156.480199,20.0,6.8030585,11210.5,1.77
122.6720314,5.20235107,18.44828606,8227.0,5.21
146.4782,3.3817,8.29381702,10517.3,1.05
137.5780983,8.04313948,12.67064,8387.0,3.06
130.8065554,3.46190495,7.348329787,11443.0,1.9
199.1262023,19.63277575,9.9001996,11183.9,1.13
161.0574078,30.06715732,9.500998,11199.0,1.77
161.0574078,30.06715732,8.29381702,11199.0,1.05
156.4822066,25.44824061,8.40319361,11313.7,1.57
142.2968296,32.98631627,9.00199601,11111.0,1.3
125.7698897,43.55702053,9.00199601,11157.5,0.38
146.4782,5.5717,15.37,10517.3,0.36
146.2057,3.9327,6.1,10118.5,1.29
205.5477953,43.55702053,9.00199601,11151.0,0.38
154.3344544,26.35167182,8.40319361,11336.0,1.84
126.3986413,68.21043078,9.9001996,11179.0,1.67
135.6946703,30.06715732,8.29381702,11089.9,1.05
138.9803993,38.25781269,9.4011976,11154.6,0.68
31.99191347,4.42934366,22.7974065,12670.5,2.76
192.8937,7.0581,9.87,10218.5,2.74
113.312,6.4192,20.16,10557.2,2.29
31.99191347,4.42934366,5.60797429,12656.0,2.94
117.4576,9.0619,20.76,10690.7,2.2
140.1864,15.8354,18.68,10642.7,2.28
146.3353,16.4522,17.8,10643.1,2.14
142.4117,10.9485,17.16,10571.4,1.52
129.6184,21.6216,19.19,10607.8,2.43
230.4845228,11.47047238,9.500998,11145.1,0.55
136.4612,12.9171,18.62,10652.6,2.29
192.8937,7.0581,9.87,10218.5,2.74
140.1864,15.8354,18.68,10642.7,2.28
143.8251,17.4556,19.19,10624.7,2.43
122.5773,4.0824,20.7,10728.4,1.35
104.131,8.8336,11.77,10511.2,0.91
114.1287,7.5325,20.82,10695.5,1.86
137.4531,14.4324,19.01,10633.7,2.31
160.2628,18.6295,19.45,10639.2,2.73
138.1476,15.3588,19.7,10627.7,4.45
31.99191347,4.42934366,13.03090728,12675.5,2.46
157.1885,11.0266,20.0,10645.4,3.16
136.4009,5.4822,16.63,10472.9,1.0
164.2583,11.1393,9.7,10200.5,3.36
125.301907,79.96103783,21.57636677,9889.7,3.35
113.312,6.4192,20.16,10557.2,2.29
127.8053146,26.45286186,25.60581566,9925.5,2.9
165.6179,8.357,21.5,10716.5,2.52
126.1670849,14.18651663,21.57636677,9338.0,3.35
93.569,9.3217,12.72,10538.8,1.33
157.1885,17.1207,17.95,10645.4,2.13
31.99191347,4.42934366,10.11964108,12674.0,2.39
31.99191347,4.42934366,10.11964108,12674.0,2.39
130.1142,23.2934,20.46,10604.4,3.59
124.736,36.446,8.567,10862.3,1.97
124.736,36.446,8.567,10862.3,1.97
113.312,6.4192,20.16,10557.2,2.29
129.6184,21.6216,19.19,10607.8,2.43
174.7419,10.9247,16.5,10663.7,1.14
31.99191347,4.42934366,5.60797429,12660.5,2.94
140.1864,15.8354,18.68,10642.7,2.28
160.212,18.6295,19.45,10639.2,2.73
150.8412,5.9067,19.4,10613.7,1.39
146.3353,13.1522,19.1,10643.1,2.4
146.2793,5.5717,15.37,10517.3,0.36
267.6663,3.687,18.61,10614.7,1.48
113.312,6.4192,20.16,10557.2,2.29
267.6663,3.687,18.61,10614.7,1.48
156.984,15.5351,15.37,10626.8,0.36
117.4576,9.0619,20.76,10690.7,2.2
201.954,7.3432,20.64,10721.5,0.84
140.1864,15.8354,18.68,10642.7,2.28
162.8413,17.1207,19.06,10640.4,2.58
124.6601,16.4368,17.62,10646.5,2.1
201.954,7.3432,20.64,10721.5,0.84
104.131,8.8336,11.77,10511.2,0.91
108.2966,7.0376,20.3,10528.4,2.72
201.954,7.3432,20.64,10721.5,0.84
128.2361,11.1217,19.31,10684.5,2.31
102.8419,5.2902,20.45,10486.7,1.92
158.4774,11.4337,18.88,10654.8,1.81
140.5272,14.3603,18.23,10649.7,2.12
129.6184,12.6859,19.27,10617.8,2.81
31.99191347,4.42934366,10.75772682,12656.0,2.85
201.954,7.3432,20.64,10721.5,0.84
123.5692,9.8762,17.31,10677.4,1.32
143.8251,17.4556,19.18,10624.7,2.57
137.4531,14.4324,19.19,10633.7,2.43
136.4612,12.9171,18.62,10652.6,2.29
140.5272,14.3603,18.23,10649.7,2.12
138.9405,17.2271,19.67,10637.5,4.13
153.5188,14.1312,20.43,10628.6,3.07
157.1885,14.0406,18.03,10645.4,2.62
137.5216487,8.57822885,16.95342606,8397.5,2.71
199.1262023,19.63277575,9.9001996,11183.9,1.13
199.1262023,19.63277575,9.9001996,11183.9,1.13
156.4822063,25.44824061,8.40319361,11313.7,1.57
206.8546852,14.6704558,8.40823326,11320.0,2.61
206.8546852,14.6704558,8.40823326,11320.0,2.61
206.8546852,14.6704558,8.40823326,11320.0,2.61
134.330387,21.94175919,7.80721002,11280.5,1.73
182.0997641,18.57106614,8.60279441,11085.0,1.28
150.9204687,50.88005866,8.29381702,11235.4,1.05
143.8251,17.4556,19.18,10624.7,3.57
143.397,39.845,7.808,10966.5,1.93
143.9635,4.2261,8.48,10162.0,1.05
151.3815751,30.06715732,9.500998,11343.2,1.77
156.480199,20.0,6.8030585,11210.5,1.77
182.0997641,18.57106614,8.60279441,11085.0,1.28
142.2968296,32.98631627,9.00199601,11111.0,1.3
126.3986413,68.21043078,9.9001996,11179.0,1.05
131.0774563,34.41281963,8.29381702,11287.2,1.05
201.7631892,19.63277575,8.10379242,11348.1,1.98
135.2113682,28.16232417,6.80267847,11305.3,1.15
125.5769519,37.44866602,7.29666526,11247.8,1.14
150.5307165,18.23007884,7.80439122,11241.0,1.38
141.5187,17.9478,19.27,10641.8,2.81
143.397,39.845,7.808,10966.5,1.93
166.057,21.73,10.288,10883.1,1.65
191.3212294,6.17392574,8.64373883,11438.0,1.08
