Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
6 MILLS,A558,MWRY,core,129.4035716,9.70794218,11.34190727,1,9420.00,2.56,1.51,4.37,0.24,448,171,9,5.88,0.26
6 MILLS,A558,MWRY,core,200.653994,9.72522567,8.346652121,1,9427.00,2.99,2.55,5.23,0.29,445,175,10,7.78,0.33
6 MILLS,A558,MWRY,core,182.0626667,10.76985833,8.827405455,1,9436.00,2.9,3.03,6.18,0.37,443,213,13,9.21,0.33
6 MILLS,A558,MWRY,core,167.2676725,11.67513783,9.246386667,1,9444.00,0.67,0.27,0.49,0.06,447,73,9,0.76,0.36
6 MILLS,A558,MWRY,core,122.6840372,3.5530934,6.17842,1,9551.00,14.42,3.63,30.98,0.44,446,215,3,34.61,0.1
3 EVANS EDWARD M,A557,MWRY,core,138.6959283,13.29940574,8.28514457,1,9202.00,2.55,2.65,1.05,4.98,0.21,195,8,3.7,0.17
4 EVANS EDWARD M,A557,MWRY,core,117.8678947,12.93340652,7.80658026,1,9208.00,2.31,2.28,1.23,4.15,0.2,180,9,3.51,0.23
5 EVANS EDWARD M,A557,MWRY,core,166.05855,8.94549187,6.61016949,1,9216.00,3.07,3.27,1.93,7.47,0.22,243,7,5.2,0.21
6 EVANS EDWARD M,A557,MWRY,core,105.0548108,13.8147327,6.76969093,1,9227.00,0.78,0.92,0.22,0.73,0.11,94,14,1.14,0.23
Phoenix Unit,D626,MWRY,core,103.3191655,9.50602798,5.662757979,1,11434.00,1.53,1.37,0.31,0.98,0.11,64,7,1.68,0.24
Phoenix Unit,D626,MWRY,core,121.3212294,6.17392574,8.64373883,1,11438.00,1.02,0.92,0.26,0.45,0.08,44,8,1.18,0.37
Phoenix Unit,D626,MWRY,core,130.8065554,3.46190495,7.348329787,1,11443.00,1.21,1.03,0.26,0.44,0.07,36,6,1.29,0.37
4 ROPP,B200,MWRY,core,164.7944614,188.7705521,,1,8061.00,0.922,0.13,1.96,0.08,442,212.5813449,8.676789588,2.09,0.062200957
Thunder Creek Fed C-3,S847,MWRY,core,137.500998,352.0353394,10.80272061,1,8637.00,3.11,1.31,9.36,0.29,440,301,9,10.67,0.12
Thunder Creek Fed C-3,S847,MWRY,core,136.0084579,335.5663135,11.39133455,1,8637.50,1.46,2.43,4.58,0.32,433,314,22,7.01,0.35
Thunder Creek Fed C-3,S847,MWRY,core,135.8222363,321.2734651,11.57287697,1,8638.00,2.53,0.7,5.45,0.29,437,215,11,6.15,0.11
Thunder Creek Fed C-3,S847,MWRY,core,135.8768354,311.5157949,11.45697212,1,8638.50,0.5,0.1,0.47,0.15,441,95,30,0.57,0.18
Thunder Creek Fed C-3,S847,MWRY,core,129.4776361,326.2947655,9.402213939,1,8640.00,0.5,0.11,0.24,0.23,442,48,46,0.35,0.31
Thunder Creek Fed C-3,S847,MWRY,core,130.5010491,379.7629353,8.23366,1,8642.00,0.65,0.11,1.2,0.21,440,183,32,1.31,0.08
Thunder Creek Fed C-3,S847,MWRY,core,172.9786505,367.3838183,11.57914606,1,8644.00,0.54,0.07,0.52,0.21,439,97,39,0.59,0.12
Thunder Creek Fed C-3,S847,MWRY,core,180.2958871,342.0071598,14.66529394,1,8645.00,0.45,0.07,0.37,0.12,442,82,27,0.44,0.16
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648.00,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
